scope,variable,response,count,percent,denominator
consenting_N158,country,Brazil,76,48.1,158
consenting_N158,country,India,17,10.8,158
consenting_N158,country,Germany,6,3.8,158
consenting_N158,country,United States of America,5,3.2,158
consenting_N158,country,Italy,5,3.2,158
consenting_N158,country,Poland,5,3.2,158
consenting_N158,country,Morocco,3,1.9,158
consenting_N158,country,Spain,3,1.9,158
consenting_N158,country,Egypt,3,1.9,158
consenting_N158,country,Malaysia,3,1.9,158
consenting_N158,country,Tunisia,2,1.3,158
consenting_N158,country,Pakistan,2,1.3,158
consenting_N158,country,France,2,1.3,158
consenting_N158,country,Ireland,2,1.3,158
consenting_N158,country,Bolivia,1,0.6,158
consenting_N158,country,Switzerland,1,0.6,158
consenting_N158,country,United Kingdom,1,0.6,158
consenting_N158,country,Montenegro,1,0.6,158
consenting_N158,country,Iraq,1,0.6,158
consenting_N158,country,China,1,0.6,158
consenting_N158,country,Kosovo,1,0.6,158
consenting_N158,country,Romania,1,0.6,158
consenting_N158,country,Czechia (Czech Republic),1,0.6,158
consenting_N158,country,Indonesia,1,0.6,158
consenting_N158,country,Cyprus,1,0.6,158
consenting_N158,country,Nepal,1,0.6,158
consenting_N158,country,Serbia,1,0.6,158
consenting_N158,country,Saudi Arabia,1,0.6,158
consenting_N158,country,Canada,1,0.6,158
consenting_N158,country,Singapore,1,0.6,158
consenting_N158,country,Chile,1,0.6,158
consenting_N158,country,Peru,1,0.6,158
consenting_N158,country,Philippines,1,0.6,158
consenting_N158,country,Denmark,1,0.6,158
consenting_N158,country,United Arab Emirates,1,0.6,158
consenting_N158,country,Algeria,1,0.6,158
consenting_N158,country,Dominican Republic,1,0.6,158
