scope,variable,response,count,percent,denominator
final_analytic_N79,country,Brazil,34,43.0,79
final_analytic_N79,country,India,7,8.9,79
final_analytic_N79,country,Poland,4,5.1,79
final_analytic_N79,country,United States of America,3,3.8,79
final_analytic_N79,country,Italy,3,3.8,79
final_analytic_N79,country,Germany,3,3.8,79
final_analytic_N79,country,Spain,2,2.5,79
final_analytic_N79,country,France,2,2.5,79
final_analytic_N79,country,Egypt,2,2.5,79
final_analytic_N79,country,Ireland,2,2.5,79
final_analytic_N79,country,Malaysia,2,2.5,79
final_analytic_N79,country,Bolivia,1,1.3,79
final_analytic_N79,country,Tunisia,1,1.3,79
final_analytic_N79,country,United Kingdom,1,1.3,79
final_analytic_N79,country,Morocco,1,1.3,79
final_analytic_N79,country,Iraq,1,1.3,79
final_analytic_N79,country,Kosovo,1,1.3,79
final_analytic_N79,country,Romania,1,1.3,79
final_analytic_N79,country,Nepal,1,1.3,79
final_analytic_N79,country,Serbia,1,1.3,79
final_analytic_N79,country,Chile,1,1.3,79
final_analytic_N79,country,Philippines,1,1.3,79
final_analytic_N79,country,United Arab Emirates,1,1.3,79
final_analytic_N79,country,Algeria,1,1.3,79
final_analytic_N79,country,Pakistan,1,1.3,79
