scope,variable,response,count,percent,denominator
scrum_experienced_N128,country,Brazil,59,46.1,128
scrum_experienced_N128,country,India,12,9.4,128
scrum_experienced_N128,country,Germany,5,3.9,128
scrum_experienced_N128,country,Poland,5,3.9,128
scrum_experienced_N128,country,United States of America,4,3.1,128
scrum_experienced_N128,country,Italy,4,3.1,128
scrum_experienced_N128,country,Spain,3,2.3,128
scrum_experienced_N128,country,Egypt,3,2.3,128
scrum_experienced_N128,country,Malaysia,3,2.3,128
scrum_experienced_N128,country,Tunisia,2,1.6,128
scrum_experienced_N128,country,Pakistan,2,1.6,128
scrum_experienced_N128,country,Morocco,2,1.6,128
scrum_experienced_N128,country,France,2,1.6,128
scrum_experienced_N128,country,Ireland,2,1.6,128
scrum_experienced_N128,country,Bolivia,1,0.8,128
scrum_experienced_N128,country,Switzerland,1,0.8,128
scrum_experienced_N128,country,United Kingdom,1,0.8,128
scrum_experienced_N128,country,Montenegro,1,0.8,128
scrum_experienced_N128,country,Iraq,1,0.8,128
scrum_experienced_N128,country,Kosovo,1,0.8,128
scrum_experienced_N128,country,Romania,1,0.8,128
scrum_experienced_N128,country,Czechia (Czech Republic),1,0.8,128
scrum_experienced_N128,country,Nepal,1,0.8,128
scrum_experienced_N128,country,Serbia,1,0.8,128
scrum_experienced_N128,country,Saudi Arabia,1,0.8,128
scrum_experienced_N128,country,Canada,1,0.8,128
scrum_experienced_N128,country,Singapore,1,0.8,128
scrum_experienced_N128,country,Chile,1,0.8,128
scrum_experienced_N128,country,Peru,1,0.8,128
scrum_experienced_N128,country,Philippines,1,0.8,128
scrum_experienced_N128,country,United Arab Emirates,1,0.8,128
scrum_experienced_N128,country,Algeria,1,0.8,128
scrum_experienced_N128,country,Dominican Republic,1,0.8,128
