scope,variable,response,count,percent,denominator
worked_scrum_N111,country,Brazil,52,46.8,111
worked_scrum_N111,country,India,9,8.1,111
worked_scrum_N111,country,Poland,5,4.5,111
worked_scrum_N111,country,United States of America,4,3.6,111
worked_scrum_N111,country,Germany,4,3.6,111
worked_scrum_N111,country,Italy,3,2.7,111
worked_scrum_N111,country,Spain,3,2.7,111
worked_scrum_N111,country,Egypt,3,2.7,111
worked_scrum_N111,country,Tunisia,2,1.8,111
worked_scrum_N111,country,Pakistan,2,1.8,111
worked_scrum_N111,country,France,2,1.8,111
worked_scrum_N111,country,Ireland,2,1.8,111
worked_scrum_N111,country,Malaysia,2,1.8,111
worked_scrum_N111,country,Bolivia,1,0.9,111
worked_scrum_N111,country,United Kingdom,1,0.9,111
worked_scrum_N111,country,Morocco,1,0.9,111
worked_scrum_N111,country,Montenegro,1,0.9,111
worked_scrum_N111,country,Iraq,1,0.9,111
worked_scrum_N111,country,Kosovo,1,0.9,111
worked_scrum_N111,country,Romania,1,0.9,111
worked_scrum_N111,country,Czechia (Czech Republic),1,0.9,111
worked_scrum_N111,country,Nepal,1,0.9,111
worked_scrum_N111,country,Serbia,1,0.9,111
worked_scrum_N111,country,Saudi Arabia,1,0.9,111
worked_scrum_N111,country,Singapore,1,0.9,111
worked_scrum_N111,country,Chile,1,0.9,111
worked_scrum_N111,country,Peru,1,0.9,111
worked_scrum_N111,country,Philippines,1,0.9,111
worked_scrum_N111,country,United Arab Emirates,1,0.9,111
worked_scrum_N111,country,Algeria,1,0.9,111
