scope,variable,response,count,percent,denominator
final_analytic_N79,application_domain,Web Application,40,50.6,79
final_analytic_N79,application_domain,Cross-platform application,12,15.2,79
final_analytic_N79,application_domain,Stand-alone/Desktop Systems,7,8.9,79
final_analytic_N79,application_domain,Server-side technologies,7,8.9,79
final_analytic_N79,application_domain,Mobile applications,5,6.3,79
final_analytic_N79,application_domain,Embedded or automation systems,3,3.8,79
final_analytic_N79,application_domain,Healthcare Systems,1,1.3,79
final_analytic_N79,application_domain,ServicNow related projects,1,1.3,79
final_analytic_N79,application_domain,Internal Application development,1,1.3,79
final_analytic_N79,application_domain,Data,1,1.3,79
final_analytic_N79,application_domain,Data integration,1,1.3,79
