scope,variable,response,count,percent,denominator
final_analytic_N79,organization_industry,Technology,29,36.7,79
final_analytic_N79,organization_industry,Financial services,7,8.9,79
final_analytic_N79,organization_industry,Education,7,8.9,79
final_analytic_N79,organization_industry,"Research, Development, and Innovation",5,6.3,79
final_analytic_N79,organization_industry,Professional services,4,5.1,79
final_analytic_N79,organization_industry,Healthcare and pharma,4,5.1,79
final_analytic_N79,organization_industry,Energy,3,3.8,79
final_analytic_N79,organization_industry,Government,3,3.8,79
final_analytic_N79,organization_industry,Telecommunications,3,3.8,79
final_analytic_N79,organization_industry,Public services,2,2.5,79
final_analytic_N79,organization_industry,Utilities,2,2.5,79
final_analytic_N79,organization_industry,Business Consulting and Services,1,1.3,79
final_analytic_N79,organization_industry,Outsourcing,1,1.3,79
final_analytic_N79,organization_industry,Manufacturing,1,1.3,79
final_analytic_N79,organization_industry,shipping and services,1,1.3,79
final_analytic_N79,organization_industry,Consumer products,1,1.3,79
final_analytic_N79,organization_industry,"Emergency Response, Logistics, and Operations — Mainly in Ocean and Offshore Environments",1,1.3,79
final_analytic_N79,organization_industry,Transportation,1,1.3,79
final_analytic_N79,organization_industry,Industrial Food,1,1.3,79
final_analytic_N79,organization_industry,Non-profit,1,1.3,79
final_analytic_N79,organization_industry,Club Management Software,1,1.3,79
