scope,variable,response,count,percent,denominator
final_analytic_N79,primary_role,Scrum Master,21,26.6,79
final_analytic_N79,primary_role,Developer,17,21.5,79
final_analytic_N79,primary_role,Product Owner,11,13.9,79
final_analytic_N79,primary_role,Project Manager,8,10.1,79
final_analytic_N79,primary_role,QA / Tester,7,8.9,79
final_analytic_N79,primary_role,Program Manager,3,3.8,79
final_analytic_N79,primary_role,Architect,3,3.8,79
final_analytic_N79,primary_role,Development Manager,2,2.5,79
final_analytic_N79,primary_role,Agile Coach,2,2.5,79
final_analytic_N79,primary_role,Consultant/Trainer,2,2.5,79
final_analytic_N79,primary_role,Product Manager,2,2.5,79
final_analytic_N79,primary_role,President/CEO/COO,1,1.3,79
