scope,variable,response,count,percent,denominator
scrum_experienced_N128,primary_role,Developer,29,22.7,128
scrum_experienced_N128,primary_role,Scrum Master,26,20.3,128
scrum_experienced_N128,primary_role,Product Owner,14,10.9,128
scrum_experienced_N128,primary_role,Project Manager,13,10.2,128
scrum_experienced_N128,primary_role,QA / Tester,9,7.0,128
scrum_experienced_N128,primary_role,Program Manager,5,3.9,128
scrum_experienced_N128,primary_role,Architect,3,2.3,128
scrum_experienced_N128,primary_role,Development Manager,2,1.6,128
scrum_experienced_N128,primary_role,Agile Coach,2,1.6,128
scrum_experienced_N128,primary_role,Consultant/Trainer,2,1.6,128
scrum_experienced_N128,primary_role,Product Manager,2,1.6,128
scrum_experienced_N128,primary_role,Tech Lead,1,0.8,128
scrum_experienced_N128,primary_role,Instrutor,1,0.8,128
scrum_experienced_N128,primary_role,Release Train Engineer,1,0.8,128
scrum_experienced_N128,primary_role,President/CEO/COO,1,0.8,128
